Country,Region,Year,AvgCelsiusTemp,State
Argentina,South/Central America & Carribean,1995,16.500712328767126,Not EU
Argentina,South/Central America & Carribean,1996,17.061120218579234,Not EU
Argentina,South/Central America & Carribean,1997,17.302136986301374,Not EU
Argentina,South/Central America & Carribean,1998,16.534055555555543,Not EU
Argentina,South/Central America & Carribean,1999,16.5754120879121,Not EU
Argentina,South/Central America & Carribean,2000,16.88676712328768,Not EU
Argentina,South/Central America & Carribean,2001,17.410769230769223,Not EU
Argentina,South/Central America & Carribean,2002,17.226000000000013,Not EU
Argentina,South/Central America & Carribean,2003,16.624435261708,Not EU
Argentina,South/Central America & Carribean,2004,17.01420765027321,Not EU
Argentina,South/Central America & Carribean,2005,16.839780821917813,Not EU
Argentina,South/Central America & Carribean,2006,17.0488493150685,Not EU
Argentina,South/Central America & Carribean,2007,16.289697802197804,Not EU
Argentina,South/Central America & Carribean,2008,17.420027472527476,Not EU
Argentina,South/Central America & Carribean,2009,17.23052197802197,Not EU
Argentina,South/Central America & Carribean,2010,17.225863013698625,Not EU
Argentina,South/Central America & Carribean,2011,17.352821917808217,Not EU
Argentina,South/Central America & Carribean,2012,17.624945355191247,Not EU
Argentina,South/Central America & Carribean,2013,17.15624657534248,Not EU
Argentina,South/Central America & Carribean,2014,17.56306849315068,Not EU
Argentina,South/Central America & Carribean,2015,17.680796703296696,Not EU
Argentina,South/Central America & Carribean,2016,16.77462809917357,Not EU
Argentina,South/Central America & Carribean,2017,17.85438356164385,Not EU
Argentina,South/Central America & Carribean,2018,17.48597222222221,Not EU
Australia,Australia/South Pacific,1995,16.389906849315064,Not EU
Australia,Australia/South Pacific,1996,16.253315098468278,Not EU
Australia,Australia/South Pacific,1997,16.751084931506874,Not EU
Australia,Australia/South Pacific,1998,16.778259818731115,Not EU
Australia,Australia/South Pacific,1999,16.92907142857143,Not EU
Australia,Australia/South Pacific,2000,16.80577049180328,Not EU
Australia,Australia/South Pacific,2001,16.793923076923054,Not EU
Australia,Australia/South Pacific,2002,17.050166666666673,Not EU
Australia,Australia/South Pacific,2003,16.879260893546604,Not EU
Australia,Australia/South Pacific,2004,16.954726775956313,Not EU
Australia,Australia/South Pacific,2005,17.062789041095904,Not EU
Australia,Australia/South Pacific,2006,17.041665753424653,Not EU
Australia,Australia/South Pacific,2007,17.36936813186813,Not EU
Australia,Australia/South Pacific,2008,16.74263070996145,Not EU
Australia,Australia/South Pacific,2009,17.446302197802193,Not EU
Australia,Australia/South Pacific,2010,17.06341917808216,Not EU
Australia,Australia/South Pacific,2011,16.966032876712326,Not EU
Australia,Australia/South Pacific,2012,16.80867213114752,Not EU
Australia,Australia/South Pacific,2013,17.43479692645447,Not EU
Australia,Australia/South Pacific,2014,17.491087912087888,Not EU
Australia,Australia/South Pacific,2015,17.257587912087892,Not EU
Australia,Australia/South Pacific,2016,17.448868653421652,Not EU
Australia,Australia/South Pacific,2017,17.475279605263193,Not EU
Australia,Australia/South Pacific,2018,17.368986149584458,Not EU
Austria,Europe,1995,10.139342465753428,EU
Austria,Europe,1996,8.709398907103827,EU
Austria,Europe,1997,9.823917808219178,EU
Austria,Europe,1998,10.743296398891966,EU
Austria,Europe,1999,10.530549450549454,EU
Austria,Europe,2000,11.532841530054634,EU
Austria,Europe,2001,10.457013698630146,EU
Austria,Europe,2002,11.0385595567867,EU
Austria,Europe,2003,10.830630136986294,EU
Austria,Europe,2004,10.334808743169395,EU
Austria,Europe,2005,10.167890410958908,EU
Austria,Europe,2006,10.686328767123285,EU
Austria,Europe,2007,11.671923076923084,EU
Austria,Europe,2008,11.439835616438366,EU
Austria,Europe,2009,10.98535714285714,EU
Austria,Europe,2010,9.583780821917808,EU
Austria,Europe,2011,10.711041095890414,EU
Austria,Europe,2012,11.061994535519123,EU
Austria,Europe,2013,10.792328767123292,EU
Austria,Europe,2014,11.86288461538461,EU
Austria,Europe,2015,11.929395604395605,EU
Austria,Europe,2016,11.171432506887058,EU
Austria,Europe,2017,11.30619178082192,EU
Austria,Europe,2018,12.104696132596677,EU
Belgium,Europe,1995,10.944876712328766,EU
Belgium,Europe,1996,8.995765027322404,EU
Belgium,Europe,1997,10.629041095890408,EU
Belgium,Europe,1998,10.721301939058165,EU
Belgium,Europe,1999,11.18118131868132,EU
Belgium,Europe,2000,11.286420765027326,EU
Belgium,Europe,2001,10.881917808219178,EU
Belgium,Europe,2002,11.296232686980616,EU
Belgium,Europe,2003,11.290739726027397,EU
Belgium,Europe,2004,10.905136612021856,EU
Belgium,Europe,2005,11.189068493150685,EU
Belgium,Europe,2006,11.142136986301367,EU
Belgium,Europe,2007,11.191538461538464,EU
Belgium,Europe,2008,10.594289617486334,EU
Belgium,Europe,2009,10.700494505494515,EU
Belgium,Europe,2010,9.353013698630136,EU
Belgium,Europe,2011,11.375369863013693,EU
Belgium,Europe,2012,10.420928961748631,EU
Belgium,Europe,2013,9.919808219178085,EU
Belgium,Europe,2014,11.73678571428571,EU
Belgium,Europe,2015,11.070302197802196,EU
Belgium,Europe,2016,10.867348066298344,EU
Belgium,Europe,2017,11.184876712328764,EU
Belgium,Europe,2018,11.698421052631586,EU
Brazil,South/Central America & Carribean,1995,22.12045662100457,Not EU
Brazil,South/Central America & Carribean,1996,21.858479052823277,Not EU
Brazil,South/Central America & Carribean,1997,21.9748688046647,Not EU
Brazil,South/Central America & Carribean,1998,22.613027806385144,Not EU
Brazil,South/Central America & Carribean,1999,21.880193370165742,Not EU
Brazil,South/Central America & Carribean,2000,22.31708675799084,Not EU
Brazil,South/Central America & Carribean,2001,22.684642857142855,Not EU
Brazil,South/Central America & Carribean,2002,22.79597209302327,Not EU
Brazil,South/Central America & Carribean,2003,22.132176308539915,Not EU
Brazil,South/Central America & Carribean,2004,21.942003642987274,Not EU
Brazil,South/Central America & Carribean,2005,21.928091324200913,Not EU
Brazil,South/Central America & Carribean,2006,21.63921461187217,Not EU
Brazil,South/Central America & Carribean,2007,21.80777472527472,Not EU
Brazil,South/Central America & Carribean,2008,21.311230486685055,Not EU
